Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,"9,950","3,295",179,174,210,497,316,137,201,794,485,331,565,450,314,145,198,326,286,195,212,238,402
2021,"9,621","3,339",206,189,258,496,323,96,180,768,329,312,452,399,280,171,194,258,310,178,269,243,371
2020,"4,074","1,361",68,85,122,172,164,41,88,375,157,119,206,138,147,50,102,106,134,91,103,91,154
2019,"8,203","3,491",146,168,172,389,208,110,157,655,244,197,315,250,205,158,135,189,213,198,183,186,234
2018,"6,255","2,185",115,153,147,302,174,71,135,536,205,153,274,193,197,140,133,167,241,161,174,148,251
2017,"5,808","2,075",108,154,129,345,172,67,108,459,158,153,296,187,130,117,112,154,244,165,164,131,180
2016,"5,665","2,142",95,133,106,297,179,63,86,405,188,187,233,176,166,115,114,124,189,148,158,126,235
2015,"5,726","2,185",98,115,125,306,187,59,96,409,163,153,240,182,147,107,139,159,159,157,141,115,284
2014,"5,575","2,044",114,138,124,291,135,57,100,370,206,137,212,170,161,121,140,125,163,147,162,114,344
2013,"5,542","2,261",86,122,82,210,95,52,79,344,242,178,122,176,151,116,158,156,155,188,119,110,340
2012,"5,157","2,152",89,71,67,176,98,48,74,322,217,152,126,159,109,108,175,138,219,149,133,106,269
2011,"4,344","1,798",82,72,57,179,106,46,64,293,175,123,114,126,107,54,176,92,124,141,102,105,208
2010,"3,645","1,561",63,61,38,149,77,41,46,233,140,115,96,80,84,75,129,94,130,115,73,77,168
2009,"3,004","1,140",41,77,59,124,92,27,38,208,125,108,89,79,83,59,132,49,82,100,79,85,128
2008,"2,834","1,052",45,80,58,92,50,16,39,161,199,105,78,57,63,69,106,48,117,109,97,74,119
2007,"2,128","1,040",16,61,10,41,11,11,29,165,67,57,22,49,9,35,108,33,133,76,79,47,29
2006,"1,917",904,14,66,19,40,20,6,23,127,45,57,49,54,23,38,66,37,105,67,57,50,50
2005,"2,088","1,167",12,49,18,25,13,4,29,119,34,50,43,45,26,29,76,24,94,64,44,59,64
